Company Name,Location,Description,Season,Type,Categories
"Respan","San Francisco, CA, USA","Self-driving observability, evals, and gateway for AI agents","Winter 2024","B2B","Infrastructure"
"Zaymo","Lehi, UT, USA","Interactive email builder for ecommerce brands","Winter 2024","B2B","Marketing"
"Artisan","San Francisco, CA, USA","AI employees called Artisans, starting with an AI BDR","Winter 2024","B2B",""
"PointOne","New York, NY, USA","AI Time Platform for Law Firms","Winter 2024","B2B","Infrastructure"
"Garage","New York, NY, USA","Building the marketplace that powers America’s most essential assets","Winter 2024","B2B",""
"Alex","San Francisco, CA, USA","Your AI recruiter for interviewing and identifying the best talent","Winter 2024","B2B","Recruiting and Talent"
"Momentic","San Francisco, CA, USA","The AI-native automated testing platform","Winter 2024","B2B","Engineering, Product and Design"
"Reducto","San Francisco, CA, USA","The most accurate API to parse documents","Winter 2024","B2B","Engineering, Product and Design"
"Greptile","San Francisco, CA, USA","AI code review agent with complete context of your codebase","Winter 2024","B2B","Engineering, Product and Design"
"Gumloop","San Francisco, CA, USA","A no-code platform for creating agents and automating workflows with…","Winter 2024","B2B",""
"Driver","Austin, TX, USA","Context for Codebases","Winter 2024","B2B",""
"Onyx","San Francisco, CA, USA","Open Source AI Chat","Winter 2024","B2B","Productivity"
"Giga","San Francisco, CA, USA","AI Support Agent for Enterprises.","Summer 2023","B2B","Engineering, Product and Design"
"Strada","San Francisco, CA, USA","Phone AI agents for insurance","Summer 2023","B2B",""
"Santé","New York, NY, USA","All-in-one POS for liquor stores","Summer 2023","B2B","Retail"
"Inventive AI","Mountain View, CA, USA","AI Agents For RFP and Questionnaire Response Automation","Summer 2023","B2B","Sales"
"Sendblue","New York, NY, USA","iMessage for Sales","Summer 2023","B2B","Sales"
"SafetyKit","San Francisco, CA, USA","AI agents for risk, compliance, and safety","Summer 2023","B2B",""
"Letter AI","Chicago, IL, USA","Empowering B2B sellers with AI-powered training, coaching, and content","Summer 2023","B2B","Productivity"
"Maven Bio","Boston, MA, USA","The AI Platform for Life Sciences Intelligence","Summer 2023","B2B",""
"refine","San Francisco, CA, USA","Open-source Retool for enterprise","Summer 2023","B2B","Engineering, Product and Design"
"VetRec","Seattle, WA, USA","AI Scribe for veterinarians. Saving time and improving patient care.","Summer 2023","B2B",""
"FleetWorks","San Francisco, CA, USA","AI enabled marketplace matching trucks with jobs","Summer 2023","B2B","Supply Chain and Logistics"
"Outset","San Francisco, CA, USA","AI-powered user interviews","Summer 2023","B2B","Analytics"
"Terminal","Toronto, ON, Canada","Plaid for Telematics Data in Commercial Trucking","Summer 2023","B2B","Supply Chain and Logistics"
"Campfire","San Francisco, CA, USA","A modern version of NetSuite","Summer 2023","B2B","Finance and Accounting"
"Alguna","San Francisco, CA, USA","AI-Native CPQ & Billing for Modern Pricing Models","Summer 2023","B2B","Finance and Accounting"
"Hyperbound","San Francisco, CA, USA","Revenue Activation Platform","Summer 2023","B2B","Sales"
"Twenty","San Francisco, CA, USA","Open Source CRM","Summer 2023","B2B",""
"Artie","San Francisco, CA, USA","Software that streams data from databases to warehouses in real-time","Summer 2023","B2B","Infrastructure"
"Metal","Los Angeles, CA, USA","Metal is an AI-driven operating system for fundraising","Winter 2023","B2B",""
"Yuma AI","Boston, MA, USA","The AI Support Agent for Ecommerce","Winter 2023","B2B","Operations"
"Pierre","San Francisco, CA, USA","Pierre is a new, opinionated, git platform.","Winter 2023","B2B","Engineering, Product and Design"
"Warp","New York, NY, USA","AI-native Employee Management Platform for High-Growth Companies","Winter 2023","B2B",""
"Escape","New York, NY, USA","The only DAST that works with modern stack and tests business logic","Winter 2023","B2B","Security"
"Metal","New York, NY, USA","Institutional Intelligence for Private Equity","Winter 2023","B2B","Finance and Accounting"
"Vector","Boston, MA, USA","Advertising for the new internet","Winter 2023","B2B","Marketing"
"Vellum","New York, NY, USA","The AI Product Development Platform","Winter 2023","B2B","Engineering, Product and Design"
"inBuild","Wilmington, DE, USA","Workflow Automation for Construction Finance","Winter 2023","B2B",""
"Odigos Technologies Inc.","Boston, MA, USA","Enterprise-Grade OpenTelemetry","Winter 2023","B2B","Infrastructure"
"1stCollab","San Francisco, CA, USA","Performance-Optimized Influencer Marketing at Scale","Winter 2023","B2B","Marketing"
"Truewind","San Francisco, CA, USA","AI-Powered Accounting","Winter 2023","B2B","Finance and Accounting"
"Inkeep","San Francisco, CA, USA","Build AI Agent teammates and automations in code or no-code","Winter 2023","B2B","Engineering, Product and Design"
"Floworks","San Francisco, CA, USA","Hire the best AI Sales employees | AI SDR | AI RevOps | AI EA","Winter 2023","B2B","Sales"
"Extend","New York, NY, USA","Production-ready document processing","Winter 2023","B2B",""
"Suger","San Francisco, CA, USA","Salesforce for Cloud marketplaces on AWS, Azure, GCP","Winter 2023","B2B","Sales"
"Pirros","Los Angeles, CA, USA","Github for Construction","Winter 2023","B2B","Engineering, Product and Design"
"Omnistrate","Redwood City, CA, USA","Transform any software to multi-cloud SaaS in minutes not years","Winter 2023","B2B",""
"Salient","San Francisco, CA, USA","AI Servicing for Auto Lenders","Winter 2023","B2B",""
"Hammr","San Francisco, CA, USA","Rippling for the Construction Industry","Winter 2023","B2B","Human Resources"
"Rollstack","New York, NY, USA","Automate data-driven slide decks and documents with AI","Winter 2023","B2B","Analytics"
"Credal.ai","New York, NY, USA","Connect AI to every tool. Enterprise security built in.","Winter 2023","B2B","Productivity"
"Reflex","San Francisco, CA, USA","The operating system for building mission-critical enterprise apps.","Winter 2023","B2B","Infrastructure"
"Middleware","San Francisco, CA, USA","AI-based full stack observability platform","Winter 2023","B2B","Infrastructure"
"Infisical","San Francisco, CA, USA","Unified platform for secrets, certs, and privileged access management","Winter 2023","B2B","Security"
"Firecrawl","San Francisco, CA, USA","The web data API for AI","Summer 2022","B2B",""
"Ekho","New York, NY, USA","Shopify for vehicles","Summer 2022","B2B","Supply Chain and Logistics"
"Quindar","Denver, CO, USA","The platform to monitor and automate satellite operations","Summer 2022","B2B",""
"Volantio","Atlanta, GA, USA","Post-booking revenue and capacity optimization for airlines…","Winter 2009","B2B","Marketing"
"Aurelian","Seattle, WA, USA","Automating non-emergency calls for 911 centers","Summer 2022","B2B",""
"Diversion","San Francisco, CA, USA","A scalable, cloud-native Perforce and Git alternative","Summer 2022","B2B","Engineering, Product and Design"
"Coris","San Francisco, CA, USA","AI risk and ops platform for Payment Processors, Banks, SaaS…","Summer 2022","B2B","Infrastructure"
"Peoplebox.ai","San Francisco, CA, USA","AI talent platform to hire, manage, and grow your people","Summer 2022","B2B","Human Resources"
"Thera","New York, NY, USA","AI-Native Finance OS","Summer 2022","B2B",""
"Provision","Toronto, ON, Canada","Ironclad for construction","Summer 2022","B2B","Infrastructure"
"Juicebox","San Francisco, CA, USA","AI-powered talent sourcing for recruiters","Summer 2022","B2B","Recruiting and Talent"
"Activepieces","San Francisco, CA, USA","Open-source, AI-first and no-code business automation tool","Summer 2022","B2B","Engineering, Product and Design"
"Disclo","Austin, TX, USA","Health disclosure and accommodation management platform","Summer 2022","B2B","Human Resources"
"Boostly","Lehi, UT, USA","Premier growth platform for restaurants","Summer 2022","B2B","Marketing"
"Two Dots","San Francisco, CA, USA","AI fraud prevention and underwriting agent","Summer 2022","B2B",""
"Julius","San Francisco, CA, USA","AI Data Scientist","Summer 2022","B2B",""
"Layerup","San Francisco, CA, USA","Agentic AI OS for Financial Services and Insurance","Summer 2022","B2B",""
"Massdriver","Los Angeles, CA, USA","Deploy secure, scalable cloud infrastructure in minutes not days","Winter 2022","B2B","Engineering, Product and Design"
"Eventual","San Francisco, CA, USA","Building the AI data engine for any modality and scale","Winter 2022","B2B","Infrastructure"
"Cofactr","New York, NY, USA","Cloud pre-factory logistics and procurement for electronics","Winter 2022","B2B","Supply Chain and Logistics"
"Rally UXR","New York, NY, USA","User Research CRM","Winter 2022","B2B","Engineering, Product and Design"
"Shaped","New York, NY, USA","The real-time retrieval engine for search, feeds, and agents.","Winter 2022","B2B","Infrastructure"
"ngrow.ai","San Francisco, CA, USA","Low-code SaaS for marketing in push notifications","Winter 2022","B2B","Marketing"
"Unsaddl","New York, NY, USA","education benefits and leave of absence management","Winter 2022","B2B","Human Resources"
"Theneo","San Francisco, CA, USA","Stripe-like API Docs in just a few clicks","Winter 2022","B2B","Engineering, Product and Design"
"Broccoli AI","San Francisco, CA, USA","AI-native operating system for home service businesses","Winter 2022","B2B","Engineering, Product and Design"
"Vimmerse","San Jose, CA, USA","Bring your photos to life with Vimmerse","Winter 2022","B2B","Engineering, Product and Design"
"BotCity","San Francisco, CA, USA","Observability and Governance for AI-Generated Python scripts.","Winter 2022","B2B","Engineering, Product and Design"
"Cinder","New York, NY, USA","Cinder | Responsible AI, Trust & Safety, and Data Labeling At Scale","Winter 2022","B2B","Security"
"SpadeWorks","San Francisco, CA, USA","AI agents that turn every call into revenue for trade businesses","Winter 2022","B2B","Operations"
"Cogram","New York, NY, USA","The AI Platform for Architects, Builders, and Engineers","Winter 2022","B2B","Productivity"
"Velt","San Francisco, CA, USA","Add powerful collaboration features to your product ridiculously fast.","Winter 2022","B2B","Productivity"
"Mintlify","San Francisco, CA, USA","The intelligent documentation platform","Winter 2022","B2B","Engineering, Product and Design"
"IOMETE","Mountain View, CA, USA","Self-hosted data lakehouse platform","Winter 2022","B2B","Infrastructure"
"RedBrick AI","Claymont, DE, USA","Rapid medical data annotation","Winter 2022","B2B",""
"Flagright","San Francisco, CA, USA","AI-native AML compliance platform for fintechs & banks","Winter 2022","B2B",""
"Axis","New York, NY, USA","Knowledge base for corporate affairs teams","Winter 2022","B2B","Productivity"
"HOKALI","San Francisco, CA, USA","After School & Enrichment Activities Marketplace","Winter 2022","B2B","Marketing"
"Dart","San Francisco, CA, USA","The only truly AI-native project management tool","Winter 2022","B2B","Productivity"
"Armilla AI","Toronto, ON, Canada","AI/LLM Assessment & Warranty Solutions","Winter 2022","B2B","Analytics"
"LanceDB","San Francisco, CA, USA","Open-source, serverless vectordb for production-scale generative AI","Winter 2022","B2B","Infrastructure"
"Agentnoon","Toronto, ON, Canada","Org design and workforce planning platform to drive org transformation","Winter 2022","B2B","Human Resources"
"Unlayer","San Francisco, CA, USA","Unlayer makes embeddable email and web editing software.","Winter 2022","B2B","Productivity"
"Atlas","San Francisco, CA, USA","Modern customer support platform replacement for Intercom and Zendesk","Winter 2022","B2B","Operations"
"Dynamo AI","San Francisco, CA, USA","Compliant-Ready AI for the Enterprise","Winter 2022","B2B",""
"TeamOut","Los Angeles, CA, USA","Online marketplace for team retreat venues","Winter 2022","B2B",""
"Blaze","San Francisco, CA, USA","Marketing automation for the modern world","Winter 2022","B2B",""
"Sieve","San Francisco, CA, USA","Video datasets for frontier AI","Winter 2022","B2B","Infrastructure"
"Agave","San Francisco, CA, USA","Financial Operations Platform for Construction","Winter 2022","B2B",""
"GrowthBook","Palo Alto, CA, USA","Open source feature flagging and A/B testing","Winter 2022","B2B","Analytics"
"Sully.ai","San Francisco, CA, USA","Autonomous team of AI agents that runs the entire hospital operations","Summer 2021","B2B","Productivity"
"Olark","Ann Arbor, MI, USA","The best live chat software on the planet. We help you build…","Summer 2009","B2B","Retail"
"Nash","San Francisco, CA, USA","Nash is the digital logistics infrastructure for commerce","Summer 2021","B2B","Supply Chain and Logistics"
"Plai","Los Angeles, CA, USA","Create, launch, and optimize Facebook ads and ads on 10+ platforms","Summer 2021","B2B","Marketing"
"ContraForceMc","Kinney, TX, USA","Security Delivery Platform to orchestrate AI agents for Service…","Summer 2021","B2B","Security"
"Storylane","Santa Clara, CA, USA","Build Interactive Product Demo in 10 mins for SaaS companies","Summer 2021","B2B",""
"idemeum","Palo Alto, CA, USA","AI-powered Application Control","Summer 2021","B2B","Security"
"Zuma","San Francisco, CA, USA","We help businesses convert leads into sales in minutes using text","Summer 2021","B2B",""
"Genuity","Chicago, IL, USA","SaaS Platform to manage IT and buy business software","Summer 2021","B2B",""
"Telmai","San Francisco, CA, USA","Automated data observability and quality for Data Lake","Summer 2021","B2B",""
"Mach9","San Francisco, CA, USA","The Fastest Tool for Automating Geospatial Production","Summer 2021","B2B","Engineering, Product and Design"
"Coast","New York, NY, USA","Demo Platform for API-First Companies","Summer 2021","B2B",""
"Writesonic","San Francisco, CA, USA","Track & Boost Your Brand’s Visibility in AI Search","Summer 2021","B2B","Marketing"
"Zensors","San Francisco, CA, USA","AI to understand and automates the physical world","Summer 2021","B2B",""
"Aleph","New York, NY, USA","One source of truth for financial data.","Summer 2021","B2B","Finance and Accounting"
"OneSchema","San Francisco, CA, USA","Automate CSV & PDF workflows with AI","Summer 2021","B2B","Operations"
"Scispot","Kitchener, ON, Canada","The Best Data Infrastructure for Biotechs","Summer 2021","B2B",""
"TrackChain","San Francisco, CA, USA","AI-native logistics OS for autonomous freight execution","Summer 2021","B2B","Supply Chain and Logistics"
"testRigor","San Francisco, CA, USA","Executable specifications in English for test automation","Summer 2021","B2B","Engineering, Product and Design"
"Secoda","Toronto, ON, Canada","Secoda is the AI layer for your Analytics","Summer 2021","B2B","Analytics"
"Kodex","Boston, MA, USA","Easiest way for companies to process data requests from governments","Summer 2021","B2B","Legal"
"Brite","Salt Lake City, UT, USA","Software that helps employees pick their employee benefits.","Summer 2021","B2B","Human Resources"
"Tavus","San Francisco, CA, USA","Building the human layer of AI","Summer 2021","B2B",""
"DailyBot","Remote, OR, USA","AI Assistant and Chat Add-ons for Work","Summer 2021","B2B","Productivity"
"Bite Ninja","Memphis, TN, USA","Remote labor for restaurants","Summer 2021","B2B",""
"MobileBoost","San Francisco, CA, USA","AI native mobile testing.","Summer 2021","B2B","Engineering, Product and Design"
"Confido","New York, NY, USA","AI-enabled financial automation and intelligence for CPG Brands","Summer 2021","B2B","Finance and Accounting"
"Deed","New York, NY, USA","Making it easy for employees to donate and volunteer with good causes.","Summer 2021","B2B","Human Resources"
"Affogato AI","San Francisco, CA, USA","Affogato AI — Your Agent for instant TikToks, Reels, and ads.","Summer 2021","B2B","Engineering, Product and Design"
"Replo","San Francisco, CA, USA","Sell anything","Summer 2021","B2B","Engineering, Product and Design"
"CustomilySt.","Louis, MO, USA","Making it easy to sell personalized products online.","Summer 2021","B2B","Engineering, Product and Design"
"Superwall","New York, NY, USA","Remotely configure every aspect of your mobile app's paywall","Summer 2021","B2B","Engineering, Product and Design"
"hotglue","Washington, DC, USA","Native user-facing SaaS integrations for your customers","Summer 2021","B2B","Engineering, Product and Design"
"Epsilon3","Los Angeles, CA, USA","AI-Powered ERP, MES, and Test Software for Complex Operations","Summer 2021","B2B","Operations"
"Openlayer","San Francisco, CA, USA","The fastest way to ship airtight AI","Summer 2021","B2B","Engineering, Product and Design"
"AXAR AI","Mountain View, CA, USA","Multi-agent orchestration platform","Winter 2021","B2B","Engineering, Product and Design"
"SwiftSku","New York, NY, USA","Management and analytics software for convenience stores","Winter 2021","B2B","Retail"
"Mayan","Las Vegas, NV, USA","A growth automation platform for Amazon sellers","Winter 2021","B2B","Operations"
"Waydev","Menlo Park, CA, USA","The Engineering Intelligence Platform | DORA, SPACE, DX, CORE 4","Winter 2021","B2B","Productivity"
"Navattic","New York, NY, USA","Interactive product demos","Winter 2021","B2B","Marketing"
"Spline","Reston, VA, USA","Design and collaborate in multiple dimensions.","Winter 2021","B2B","Productivity"
"Svix","San Francisco, CA, USA","Enterprise ready webhooks service, open-source and in the cloud","Winter 2021","B2B","Infrastructure"
"Stayflexi","San Francisco, CA, USA","Operating System for Hotels and Vacation Rentals","Winter 2021","B2B",""
"Soraban","Tempe, AZ, USA","AI assistant for accounting firms","Winter 2021","B2B","Finance and Accounting"
"Manara","Berkeley, CA, USA","Connecting top Middle East talent to global tech jobs","Winter 2021","B2B","Recruiting and Talent"
"Feroot Security","Toronto, ON, Canada","AI-powered Compliance Platform for PCI 4, CCPA, HIPAA, CIPA, 50+ laws","Winter 2021","B2B","Security"
"Resquared","Philadelphia, PA, USA","Marketing automation platform for selling to local businesses.","Winter 2021","B2B","Marketing"
"Topline Pro","New York, NY, USA","Generative AI powered Shopify for home service professionals","Winter 2021","B2B","Operations"
"Great Question","Oakland, CA, USA","User research on autopilot.","Winter 2021","B2B","Engineering, Product and Design"
"Hudu","Fort Collins, CO, USA","The Most-Loved IT Documentation Platform","Winter 2021","B2B","Operations"
"Fathom","San Francisco, CA, USA","Never take notes again with the #1 AI Meeting Assistant","Winter 2021","B2B","Productivity"
"Topkey","San Francisco, CA, USA","Winter 2021","B2B","Finance and Accounting",""
"Vapi","San Francisco, CA, USA","Voice AI for developers.","Winter 2021","B2B","Engineering, Product and Design"
"Per Diem","New York, NY, USA","The AI operating system for restaurants","Winter 2021","B2B","Marketing"
"Firstbase.io","New York, NY, USA","The all-in-one startup operating system","Winter 2021","B2B","Operations"
"Expent Inc","Fremont, CA, USA","Procure the right software 5x faster","Winter 2021","B2B","Operations"
"ModernLoop","San Mateo, CA, USA","ModernLoop helps teams automate and streamline recruiting operations","Winter 2021","B2B","Recruiting and Talent"
"arnata","San Francisco, CA, USA","AI workers for the logistics industry.","Winter 2021","B2B","Supply Chain and Logistics"
"SigNoz","San Francisco, CA, USA","Open source alternative to DataDog","Winter 2021","B2B","Infrastructure"
"Spokn","New York, NY, USA","AI-powered video platform for Internal Comms and HR teams","Winter 2021","B2B","Operations"
"authzed","New York, NY, USA","Cloud Infrastructure for Authorization","Winter 2021","B2B","Engineering, Product and Design"
"Gaiia","Remote, OR, USA","all-in-one operating system (OS) for telcos","Winter 2021","B2B","Operations"
"OwnLocal","Austin, TX, USA","OwnLocal automates marketing for over 129,000 SMBs through 3,300…","Winter 2010","B2B","Marketing"
"Runway","New York, NY, USA","Easier and more reliable mobile app releases for teams.","Winter 2021","B2B","Engineering, Product and Design"
"Mozart Data","San Francisco, CA, USA","The easiest way to set up a modern data stack","Summer 2020","B2B","Infrastructure"
"Glimpse","New York, NY, USA","Glimpse is the system of action for CPG retail operations","Summer 2020","B2B","Retail"
"Draftwise","New York, NY, USA","Contract and negotiation AI built for lawyers","Summer 2020","B2B","Legal"
"Laylo","Los Angeles, CA, USA","The CRM powering iconic musicians and events","Summer 2020","B2B","Marketing"
"Formal","San Francisco, CA, USA","Take control of your data in real-time.","Summer 2020","B2B",""
"Awtomic","Seattle, WA, USA","Dollar Shave Club as a platform.","Summer 2020","B2B","Retail"
"TyltGO","Kitchener, ON, Canada","TyltGO powers retailers with same-day delivery.","Summer 2020","B2B","Supply Chain and Logistics"
"Notabene","New York, NY, USA","The Notabene platform is the trust layer for global money movement.","Summer 2020","B2B","Security"
"Mesh","San Jose, CA, USA","Performance management platform that fits the way you work","Summer 2020","B2B","Human Resources"
"Atomic","San Francisco, CA, USA","API that lets companies embed investment accounts into their services","Summer 2020","B2B","Retail"
"doola","New York, NY, USA","Business-in-a-Box™ for LLCs","Summer 2020","B2B","Productivity"
"Arist","New York, NY, USA","Deliver effective learning at scale","Summer 2020","B2B",""
"Swif.ai","Sunnyvale, CA, USA","The guardrail for AI on every device","Summer 2020","B2B","Security"
"Hypotenuse AI","San Francisco, CA, USA","Manage, create & optimize your ecommerce product content using AI","Summer 2020","B2B",""
"Seam","San Francisco, CA, USA","API for IoT Devices","Summer 2020","B2B","Engineering, Product and Design"
"Blue Onion","New York, NY, USA","Financial data layer for AI-powered finance and accounting","Summer 2020","B2B","Finance and Accounting"
"Datafold","New York, NY, USA","Automating manual and repetitive data engineering tasks with AI","Summer 2020","B2B","Analytics"
"SuperTokens","San Francisco, CA, USA","Open source alternative to Auth0 / AWS Cognito / Firebase Auth","Summer 2020","B2B","Security"
"Luminai","San Francisco, CA, USA","Luminai helps automate repetitive manual work away from your mission…","Summer 2020","B2B","Engineering, Product and Design"
"SPATE","New York, NY, USA","Trends prediction for marketers","Summer 2018","B2B","Retail"
"Mutiny","New York, NY, USA","AI for Enterprise GTM","Summer 2018","B2B","Marketing"
"Nestor","San Jose, CA, USA","Skills-based talent management solutions for a dynamic workforce.","Summer 2018","B2B","Human Resources"
"Names & Faces","Palo Alto, CA, USA","Technology to create fast, visual indexes of people and organizations.","Summer 2018","B2B","Human Resources"
"BlueCargo","Los Angeles, CA, USA","The automated solution for complex freight transactions.","Summer 2018","B2B","Supply Chain and Logistics"
"Tall Poppy","San Francisco, CA, USA","Protecting your employees against online harassment","Summer 2018","B2B","Human Resources"
"Anima App","New York, NY, USA","Design to Code & On-brand Vibe-coding","Summer 2018","B2B","Engineering, Product and Design"
