"Company Name","Location","Description","Season","Type","Categories","Score"
"PaperspaceNY, USA","","Paperspace is a cloud platform for building and scaling AI…","Winter 2015","B2B","Engineering, Product and Design",10
"PersistIQ","San Mateo, CA, USA","PersistIQ is a free email automation platform to send a small batch…","Summer 2014","B2B","Sales",10
"Aptible","San Francisco, CA, USA","The No Infrastructure Platform as a Service","Summer 2014","B2B","Infrastructure",10
"Wit.ai","Palo Alto, CA, USA","Natural Language for Developers --Wit is an API that makes it easy…","Winter 2014","B2B","Engineering, Product and Design",10
"Rickshaw","San Francisco, CA, USA","Same day local delivery, via API. Currently operating in SF.","Winter 2014","B2B","Supply Chain and Logistics",10
"Kimono Labs","San Francisco, CA, USA","Create APIs where they don't exist. With kimono you can quickly…","Winter 2014","B2B","Engineering, Product and Design",10
"Boostable","San Francisco, CA, USA","Advertising platform tools for marketplace sellers.","Winter 2014","B2B","Marketing",10
"Semantics3","San Francisco, CA, USA","Data and AI platform for Ecommerce & Cross-Border Logistics","Winter 2013","B2B","Retail",10
"Natero","Mountain View, CA, USA","Data-driven customer success platform for B2B SaaS.","Summer 2012","B2B","Operations",10
"OmniVirt","San Francisco, CA, USA","OmniVirt is the leading VR Advertising platform for brands and…","Summer 2012","B2B","Marketing",10
"Fern","New York, NY, USA","Instantly offer SDKs and API Docs","Winter 2023","B2B","Engineering, Product and Design",10
"Goodkind","Toronto, ON, Canada","Student communications platform for higher education","Summer 2021","B2B","Sales",10
"Command AI","San Francisco, CA, USA","AI-powered user assistance platform","Summer 2020","B2B","Engineering, Product and Design",10
"CodeStream","New York, NY, USA","CodeStream is a Developer Collaboration Platform designed to…","Winter 2018","B2B","Engineering, Product and Design",10
"Custora","New York, NY, USA","Custora is a predictive analytics platform for e-commerce marketing…","Winter 2011","B2B","Analytics",10
"CrowdAI","San Francisco, CA, USA","CrowdAI is the world's leading no-code platform for vision AI","Summer 2016","B2B","",10
"Chaos Genius","San Francisco, CA, USA","DataOps Observability Platform for Snowflake","Winter 2020","B2B","Analytics",10
"Perfect Audience","San Francisco, CA, USA","Self-service display advertising for SaaS and online retail.","Summer 2011","B2B","Marketing",10
"Plato","San Francisco, CA, USA","Plato is the mentorship platform for engineering leaders","Winter 2016","B2B","Productivity",10
"Pulpix","New York, NY, USA","Binge-watching technology for video platforms.","Winter 2016","B2B","Marketing",10
"Compgun","San Francisco, CA, USA","Sales commission software that grows revenue.","Winter 2016","B2B","Human Resources",10
"Locent","Santa Monica, CA, USA","Locent is an automated messaging platform for companies","Summer 2015","B2B","Marketing",10
"ROSS Intelligence","San Francisco, CA, USA","ROSS is an AI-powered legal research platform that can read and…","Summer 2015","B2B","Legal",10
"Neptune.io","San Mateo, CA, USA","A self-healing platform to enrich and fix server alerts automatically","Summer 2014","B2B","Infrastructure",10
"Celery","San Francisco, CA, USA","Celery is a platform for pre-orders (www.trycelery.com). Accept…","Summer 2012","B2B","Retail",10
"Partnered","San Francisco, CA, USA","Partnered is a digital platform automating business development…","Summer 2012","B2B","Sales",10
"Wingback","San Francisco, CA, USA","Wingback provides tools and APIs for SaaS pricing and packaging.","Winter 2022","B2B","Infrastructure",10
"Optilly/Installmonetizer","San Jose, CA, USA","Fb ad optimization platform","Winter 2012","B2B","Marketing",10
"Prelay","San Francisco, CA, USA","Team Selling Platform","Winter 2020","B2B","Sales",10
"Elucify","San Francisco, CA, USA","Elucify is an API that plugs into your CRM which automatically cleans…","Winter 2016","B2B","Sales",10
"Strada","San Francisco, CA, USA","Phone AI agents for insurance","Summer 2023","B2B","",5
"Santé","New York, NY, USA","All-in-one POS for liquor stores","Summer 2023","B2B","Retail",5
"Sendblue","New York, NY, USA","iMessage for Sales","Summer 2023","B2B","Sales",5
"SafetyKit","San Francisco, CA, USA","AI agents for risk, compliance, and safety","Summer 2023","B2B","",5
"FleetWorks","San Francisco, CA, USA","AI enabled marketplace matching trucks with jobs","Summer 2023","B2B","Supply Chain and Logistics",5
"Outset","San Francisco, CA, USA","AI-powered user interviews","Summer 2023","B2B","Analytics",5
"Twenty","San Francisco, CA, USA","Open Source CRM","Summer 2023","B2B","",5
"Escape","New York, NY, USA","The only DAST that works with modern stack and tests business logic","Winter 2023","B2B","Security",5
"1stCollab","San Francisco, CA, USA","Performance-Optimized Influencer Marketing at Scale","Winter 2023","B2B","Marketing",5
"Inkeep","San Francisco, CA, USA","Build AI Agent teammates and automations in code or no-code","Winter 2023","B2B","Engineering, Product and Design",5
"Floworks","San Francisco, CA, USA","Hire the best AI Sales employees | AI SDR | AI RevOps | AI EA","Winter 2023","B2B","Sales",5
"Extend","New York, NY, USA","Production-ready document processing","Winter 2023","B2B","",5
"Suger","San Francisco, CA, USA","Salesforce for Cloud marketplaces on AWS, Azure, GCP","Winter 2023","B2B","Sales",5
"Salient","San Francisco, CA, USA","AI Servicing for Auto Lenders","Winter 2023","B2B","",5
"Hammr","San Francisco, CA, USA","Rippling for the Construction Industry","Winter 2023","B2B","Human Resources",5
"Rollstack","New York, NY, USA","Automate data-driven slide decks and documents with AI","Winter 2023","B2B","Analytics",5
"Ekho","New York, NY, USA","Shopify for vehicles","Summer 2022","B2B","Supply Chain and Logistics",5
"Diversion","San Francisco, CA, USA","A scalable, cloud-native Perforce and Git alternative","Summer 2022","B2B","Engineering, Product and Design",5
"Juicebox","San Francisco, CA, USA","AI-powered talent sourcing for recruiters","Summer 2022","B2B","Recruiting and Talent",5
"Activepieces","San Francisco, CA, USA","Open-source, AI-first and no-code business automation tool","Summer 2022","B2B","Engineering, Product and Design",5
"Two Dots","San Francisco, CA, USA","AI fraud prevention and underwriting agent","Summer 2022","B2B","",5
"Julius","San Francisco, CA, USA","AI Data Scientist","Summer 2022","B2B","",5
"Eventual","San Francisco, CA, USA","Building the AI data engine for any modality and scale","Winter 2022","B2B","Infrastructure",5
"Cofactr","New York, NY, USA","Cloud pre-factory logistics and procurement for electronics","Winter 2022","B2B","Supply Chain and Logistics",5
"Rally UXR","New York, NY, USA","User Research CRM","Winter 2022","B2B","Engineering, Product and Design",5
"Shaped","New York, NY, USA","The real-time retrieval engine for search, feeds, and agents.","Winter 2022","B2B","Infrastructure",5
"Unsaddl","New York, NY, USA","education benefits and leave of absence management","Winter 2022","B2B","Human Resources",5
"Broccoli AI","San Francisco, CA, USA","AI-native operating system for home service businesses","Winter 2022","B2B","Engineering, Product and Design",5
"BotCity","San Francisco, CA, USA","Observability and Governance for AI-Generated Python scripts.","Winter 2022","B2B","Engineering, Product and Design",5
"Cinder","New York, NY, USA","Cinder | Responsible AI, Trust & Safety, and Data Labeling At Scale","Winter 2022","B2B","Security",5
"SpadeWorks","San Francisco, CA, USA","AI agents that turn every call into revenue for trade businesses","Winter 2022","B2B","Operations",5
"Velt","San Francisco, CA, USA","Add powerful collaboration features to your product ridiculously fast.","Winter 2022","B2B","Productivity",5
"Axis","New York, NY, USA","Knowledge base for corporate affairs teams","Winter 2022","B2B","Productivity",5
"HOKALI","San Francisco, CA, USA","After School & Enrichment Activities Marketplace","Winter 2022","B2B","Marketing",5
"Dart","San Francisco, CA, USA","The only truly AI-native project management tool","Winter 2022","B2B","Productivity",5
"LanceDB","San Francisco, CA, USA","Open-source, serverless vectordb for production-scale generative AI","Winter 2022","B2B","Infrastructure",5
"Blaze","San Francisco, CA, USA","Marketing automation for the modern world","Winter 2022","B2B","",5
"Sieve","San Francisco, CA, USA","Video datasets for frontier AI","Winter 2022","B2B","Infrastructure",5
"GrowthBook","Palo Alto, CA, USA","Open source feature flagging and A/B testing","Winter 2022","B2B","Analytics",5
"Sully.ai","San Francisco, CA, USA","Autonomous team of AI agents that runs the entire hospital operations","Summer 2021","B2B","Productivity",5
"Nash","San Francisco, CA, USA","Nash is the digital logistics infrastructure for commerce","Summer 2021","B2B","Supply Chain and Logistics",5
"idemeum","Palo Alto, CA, USA","AI-powered Application Control","Summer 2021","B2B","Security",5
"Zuma","San Francisco, CA, USA","We help businesses convert leads into sales in minutes using text","Summer 2021","B2B","",5
"Telmai","San Francisco, CA, USA","Automated data observability and quality for Data Lake","Summer 2021","B2B","",5
"Mach9","San Francisco, CA, USA","The Fastest Tool for Automating Geospatial Production","Summer 2021","B2B","Engineering, Product and Design",5
"Writesonic","San Francisco, CA, USA","Track & Boost Your Brand’s Visibility in AI Search","Summer 2021","B2B","Marketing",5
"Zensors","San Francisco, CA, USA","AI to understand and automates the physical world","Summer 2021","B2B","",5
"OneSchema","San Francisco, CA, USA","Automate CSV & PDF workflows with AI","Summer 2021","B2B","Operations",5
"TrackChain","San Francisco, CA, USA","AI-native logistics OS for autonomous freight execution","Summer 2021","B2B","Supply Chain and Logistics",5
"testRigor","San Francisco, CA, USA","Executable specifications in English for test automation","Summer 2021","B2B","Engineering, Product and Design",5
"Tavus","San Francisco, CA, USA","Building the human layer of AI","Summer 2021","B2B","",5
"MobileBoost","San Francisco, CA, USA","AI native mobile testing.","Summer 2021","B2B","Engineering, Product and Design",5
"Deed","New York, NY, USA","Making it easy for employees to donate and volunteer with good causes.","Summer 2021","B2B","Human Resources",5
"Affogato AI","San Francisco, CA, USA","Affogato AI — Your Agent for instant TikToks, Reels, and ads.","Summer 2021","B2B","Engineering, Product and Design",5
"Replo","San Francisco, CA, USA","Sell anything","Summer 2021","B2B","Engineering, Product and Design",5
"Superwall","New York, NY, USA","Remotely configure every aspect of your mobile app's paywall","Summer 2021","B2B","Engineering, Product and Design",5
"Openlayer","San Francisco, CA, USA","The fastest way to ship airtight AI","Summer 2021","B2B","Engineering, Product and Design",5
"Navattic","New York, NY, USA","Interactive product demos","Winter 2021","B2B","Marketing",5
"Stayflexi","San Francisco, CA, USA","Operating System for Hotels and Vacation Rentals","Winter 2021","B2B","",5
"Topline Pro","New York, NY, USA","Generative AI powered Shopify for home service professionals","Winter 2021","B2B","Operations",5
"Fathom","San Francisco, CA, USA","Never take notes again with the #1 AI Meeting Assistant","Winter 2021","B2B","Productivity",5
"Vapi","San Francisco, CA, USA","Voice AI for developers.","Winter 2021","B2B","Engineering, Product and Design",5
"Per Diem","New York, NY, USA","The AI operating system for restaurants","Winter 2021","B2B","Marketing",5
"Firstbase.io","New York, NY, USA","The all-in-one startup operating system","Winter 2021","B2B","Operations",5
"arnata","San Francisco, CA, USA","AI workers for the logistics industry.","Winter 2021","B2B","Supply Chain and Logistics",5
"SigNoz","San Francisco, CA, USA","Open source alternative to DataDog","Winter 2021","B2B","Infrastructure",5
"authzed","New York, NY, USA","Cloud Infrastructure for Authorization","Winter 2021","B2B","Engineering, Product and Design",5
"Runway","New York, NY, USA","Easier and more reliable mobile app releases for teams.","Winter 2021","B2B","Engineering, Product and Design",5
"Mozart Data","San Francisco, CA, USA","The easiest way to set up a modern data stack","Summer 2020","B2B","Infrastructure",5
"Glimpse","New York, NY, USA","Glimpse is the system of action for CPG retail operations","Summer 2020","B2B","Retail",5
"Draftwise","New York, NY, USA","Contract and negotiation AI built for lawyers","Summer 2020","B2B","Legal",5
"Formal","San Francisco, CA, USA","Take control of your data in real-time.","Summer 2020","B2B","",5
"doola","New York, NY, USA","Business-in-a-Box™ for LLCs","Summer 2020","B2B","Productivity",5
"Arist","New York, NY, USA","Deliver effective learning at scale","Summer 2020","B2B","",5
"Hypotenuse AI","San Francisco, CA, USA","Manage, create & optimize your ecommerce product content using AI","Summer 2020","B2B","",5
"Datafold","New York, NY, USA","Automating manual and repetitive data engineering tasks with AI","Summer 2020","B2B","Analytics",5
"SuperTokens","San Francisco, CA, USA","Open source alternative to Auth0 / AWS Cognito / Firebase Auth","Summer 2020","B2B","Security",5
"Luminai","San Francisco, CA, USA","Luminai helps automate repetitive manual work away from your mission…","Summer 2020","B2B","Engineering, Product and Design",5
"SPATE","New York, NY, USA","Trends prediction for marketers","Summer 2018","B2B","Retail",5
"Names & Faces","Palo Alto, CA, USA","Technology to create fast, visual indexes of people and organizations.","Summer 2018","B2B","Human Resources",5
"Tall Poppy","San Francisco, CA, USA","Protecting your employees against online harassment","Summer 2018","B2B","Human Resources",5
"Anima App","New York, NY, USA","Design to Code & On-brand Vibe-coding","Summer 2018","B2B","Engineering, Product and Design",5
"Embeddables","San Francisco, CA, USA","The funnel builder built for health & wellness brands.","Summer 2018","B2B","Productivity",5
"Inscribe","San Francisco, CA, USA","Risk Ops Automation","Summer 2018","B2B","Infrastructure",5
"Swayable","New York, NY, USA","Swayable predicts consumer opinion and the impact of content","Winter 2018","B2B","Marketing",5
"Cognition IP","San Francisco, CA, USA","Flat-fee patent & trademark counsel with top firm results","Winter 2018","B2B","Legal",5
"Assembly","New York, NY, USA","Create remarkable client experiences","Winter 2018","B2B","Productivity",5
"Upfort","San Francisco, CA, USA","Turnkey security & hassle-free cyber insurance from leading insurers","Summer 2017","B2B","Security",5
"Plane","San Francisco, CA, USA","#1 easiest-to-use payroll for startups","Winter 2017","B2B","Human Resources",5
"RankScience","New York, NY, USA","Automated SEO for Startups","Winter 2017","B2B","Marketing",5
"Voiceops","New York, NY, USA","We help B2C companies learn from every customer interaction","Winter 2017","B2B","Sales",5
"Stable","San Francisco, CA, USA","A virtual address + mailbox for business","Winter 2020","B2B","Office Management",5
"Skypher","New York, NY, USA","AI agent for Compliance Questionnaires Automation","Winter 2020","B2B","Security",5
"Vori","East Palo Alto, CA, USA","Vori is a modern operating system for supermarkets","Winter 2020","B2B","Retail",5
"Eze","San Francisco, CA, USA","The easiest way to track, buy, and sell your company’s tech — all in…","Winter 2020","B2B","Retail",5
"Ditto","San Francisco, CA, USA","Manage the words across your team’s product from design to production.","Winter 2020","B2B","Engineering, Product and Design",5
"Letterdrop","New York, NY, USA","Book more meetings with conversational intent","Winter 2020","B2B","Sales",5
"MindsDB","San Francisco, CA, USA","Connect, Unify, Respond to any data, anywhere with human-level…","Winter 2020","B2B","Infrastructure",5
"Porter","New York, NY, USA","Easiest way to deploy on AWS/GCP/Azure","Summer 2020","B2B","Infrastructure",5
"GitStart","San Francisco, CA, USA","Pull Requests as a Service","Summer 2019","B2B","Engineering, Product and Design",5
"Taskade","San Francisco, CA, USA","One prompt. One app. One living workspace for teams.","Summer 2019","B2B","Productivity",5
"Wasmer","San Francisco, CA, USA","The Operating System for Edge Computing","Summer 2019","B2B","Infrastructure",5
